,Prefectures,Communes,Precincts,Ballots,Registered,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072
4541,KORCE,KORCE_KORCE,36721,260,567,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,9,0,1,145,0,0,0,0,0,0,0,0,2,0,0,0,0,0,73,7,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
4542,KORCE,KORCE_KORCE,3673,312,322,0,0,0,0,0,6,1,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,1,0,1,40,0,0,118,0,0,0,2,0,1,0,0,18,0,1,0,2,0,83,15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,5
4543,KORCE,KORCE_KORCE,36731,297,668,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,15,0,0,149,0,0,0,0,0,0,0,0,5,0,0,0,0,0,77,19,0,1,0,0,9,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0
4544,KORCE,KORCE_KORCE,3674,362,365,0,0,7,0,0,6,0,0,1,1,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,39,1,3,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,27,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
4545,KORCE,KORCE_KORCE,36741,290,293,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,18,0,2,118,1,0,0,0,0,0,0,0,3,1,0,0,0,0,96,16,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
4546,KORCE,KORCE_KORCE,3675,251,259,0,0,0,1,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,99,0,0,0,0,0,1,0,0,3,0,1,0,0,0,95,14,0,0,0,1,1,0,0,0,4,0,0,2,0,1,0,0,0,0,0,3,0
4547,KORCE,KORCE_KORCE,36751,247,587,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,23,1,0,100,0,0,0,0,0,1,0,0,6,0,0,1,0,1,85,3,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4548,KORCE,KORCE_KORCE,3676,223,225,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,97,1,0,0,0,0,0,0,1,10,0,0,0,0,1,71,10,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
4549,KORCE,KORCE_KORCE,36761,230,651,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,81,0,1,0,0,0,1,0,0,4,0,0,1,0,0,103,10,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
4550,KORCE,KORCE_KORCE,3677,365,369,0,0,0,0,0,13,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,0,2,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,26,1,0,0,0,6,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1
4551,KORCE,KORCE_KORCE,3678,498,945,1,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,1,2,188,0,0,0,0,0,0,0,0,0,1,0,0,0,5,209,38,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,5,6
4552,KORCE,KORCE_KORCE,3679,404,407,0,0,1,0,0,8,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,34,0,0,229,0,0,0,3,0,4,0,0,2,0,0,0,0,0,98,9,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6
